Row Labels,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6
shtol,4.58136E-05,1.52712E-05,0,1.52712E-05,4.58225E-05,1.52712E-05
sholar,6.79233E-05,0,0,0.000101885,3.39682E-05,0.000101885
tal,0,0,0.000232231,0,0.000174207,0.000116116
sholal,0,0,6.79233E-05,0.000101885,6.79364E-05,6.79233E-05
taiir,0,5.80579E-05,0,0.000174174,0,0.000290289
shdor,1.52712E-05,1.52712E-05,1.52712E-05,0,6.10966E-05,3.05424E-05
sharar,1.52712E-05,1.52712E-05,3.05424E-05,0,1.52742E-05,6.10849E-05
shdar,3.39617E-05,0,6.79233E-05,3.39617E-05,0.000169841,0
shalal,0,3.39617E-05,6.79233E-05,6.79233E-05,0,0.000135847
shdal,6.79233E-05,3.39617E-05,0.000169808,0,3.39682E-05,0
ysar,0.000101885,0.000101885,0,3.39617E-05,0,6.79233E-05
ykol,0.000135847,0,0.000101885,3.39617E-05,3.39682E-05,0
ytain,7.63561E-05,1.52712E-05,0,1.52712E-05,1.52742E-05,1.52712E-05
aimol,0.000135847,3.39617E-05,6.79233E-05,0,3.39682E-05,0
aiiral,0,3.39617E-05,0,6.79233E-05,0.000135873,3.39617E-05
aiiinol,1.52712E-05,1.52712E-05,1.52712E-05,0,4.58225E-05,3.05424E-05
alchol,0,0,6.79233E-05,0.000101885,3.39682E-05,6.79233E-05
aiisaiis,5.80579E-05,0,0,0,0.000348414,5.80579E-05
aiil,3.05424E-05,1.52712E-05,0,1.52712E-05,4.58225E-05,1.52712E-05
amy,3.39617E-05,3.39617E-05,6.79233E-05,0,0,0.000135847
anam,1.52712E-05,4.58136E-05,3.05424E-05,0,1.52742E-05,1.52712E-05
archeedy,0.000169808,3.39617E-05,3.39617E-05,0,3.39682E-05,0
aralar,3.39617E-05,0,6.79233E-05,0.000135847,3.39682E-05,0
anor,0,0,0.000232231,5.80579E-05,0,0.000174174
chdchd,0,0,5.80579E-05,0,0.000348414,5.80579E-05
chdal,0.000101885,3.39617E-05,0.000101885,3.39617E-05,0,0
