word_type,tfidf_divcom,tfidf_desphaera,tfidf_herbal,tfidf_nathist,plaintext,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,PC1,PC2,cluster
ytched,0.0,0.000115403,0.0,5.74594e-05,sa,,,,,,,,,-1.0714062129713506,-0.4833988459411174,0
lsheeor,0.0,0.000115403,0.000173138,0.0,er,,,,,,,,,-1.9970907996458651,-0.6091024094977133,0
oredy,0.0,0.000115403,0.000173138,0.0,se,,,,,,,,,-1.9970907996458651,-0.6091024094977133,0
teey,0.0,0.000115403,0.000173138,0.0,ru,,,,,,,,,-1.9970907996458651,-0.6091024094977133,0
chedaiin,0.0,0.000115403,0.000115426,0.0,et,,,,,,,,,-1.687392529340004,-0.8227958367854837,0
lal,0.0,0.000115403,0.000115426,0.0,mn,,,,,,,,,-1.687392529340004,-0.8227958367854837,0
odys,0.0,0.000115403,0.000115426,0.0,or,,,,,,,,,-1.687392529340004,-0.8227958367854837,0
opchair,0.0,0.000115403,0.000115426,0.0,na,,,,,,,,,-1.687392529340004,-0.8227958367854837,0
pcheeody,0.0,0.000115403,0.000115426,0.0,td,,,,,,,,,-1.687392529340004,-0.8227958367854837,0
tcho,0.0,0.000115403,0.000115426,0.0,ri,,,,,,,,,-1.687392529340004,-0.8227958367854837,0
ysho,0.0,0.000115403,0.000115426,0.0,ri,,,,,,,,,-1.687392529340004,-0.8227958367854837,0
aiirees,0.0,0.000115403,5.77128e-05,0.0,nt,,,,,,,,,-1.3776878195081455,-1.0364937073798928,0
kaiiin,0.0,0.000115403,5.77128e-05,0.0,ic,,,,,,,,,-1.3776878195081455,-1.0364937073798928,0
laim,0.0,0.000115403,5.77128e-05,0.0,mo,,,,,,,,,-1.3776878195081455,-1.0364937073798928,0
loly,0.0,0.000115403,5.77128e-05,0.0,md,,,,,,,,,-1.3776878195081455,-1.0364937073798928,0
lshary,0.0,0.000115403,5.77128e-05,0.0,et,,,,,,,,,-1.3776878195081455,-1.0364937073798928,0
