word,tfidf_balneological2,tfidf_herbal2,tfidf_herbal5,tfidf_recipes3,tfidf_starsx,tfidf_stars3
kchedy,0.000100819,0.000228295,0,0,0.000398397,0.000223597
ldy,0,0,0,0,0,0
pol,0.00076488,0,0,0,0,0.000372824
qokam,0.000241293,0.000390272,0,0,0,0.000352838
sheo,0.0000272,0.000102655,0.0000853,0,0.000179143,0.000108277
yteey,0.000379174,0.000520363,0,0,0,0.000205822
chedal,0.0000689,0.000260182,0,0,0,0.000499854
keey,0.0000807,0.000152196,0,0,0.000796793,0.000223597
opchey,0.000120983,0.0000761,0.000379507,0,0,0.000206397
chl,0.0000807,0.0000761,0,0,0.000796793,0.000223597
kal,0.000141147,0.0000761,0.000759014,0,0,0.000137598
oteol,0.0000605,0.000380491,0.000379507,0,0,0.000171998
qoeedy,0.000437074,0,0,0,0,0.000559236
qotey,0.000275763,0,0.000324386,0,0,0.000323435
qokor,0.000161311,0.0000761,0,0,0.000796793,0.000154798
sair,0.000120983,0.000380491,0.000189754,0,0,0.000137598
chdal,0.000120983,0.000380491,0.000189754,0,0,0.000120398
chees,0.000141147,0.000228295,0.000189754,0,0,0.000137598
rol,0.000710246,0,0,0,0,0.000279618
shecthy,0.000282294,0.0000761,0.000189754,0,0,0.0000516
ytar,0,0,0,0,0,0
chdar,0.000206822,0.000260182,0,0,0,0.000294032
cheeky,0.000201639,0.000228295,0.000189754,0,0,0.0000688
daly,0.000181475,0.000228295,0.000948768,0,0,0.0000172
lshey,0.00038244,0,0,0,0,0.000512633
okeeey,0.000103411,0.000130091,0,0,0,0.000411645
olkar,0.000819514,0,0,0,0,0.000139809
okchey,0.000100819,0.000228295,0,0,0.000398397,0.000154798
oldy,0.000221803,0.000304393,0.000189754,0,0,0.0000344
okeol,0.000103411,0.000260182,0,0,0,0.000382242
shed,0.000100819,0.000152196,0.000379507,0,0,0.000154798
chedain,0.0000689,0.000130091,0,0,0,0.000411645
aly,0.0000807,0.000228295,0.000379507,0,0,0.000137598
lchdy,0.0000544,0.0000342,0.0000853,0,0.000179143,0.0000619
oiin,0.00038244,0,0,0,0,0.00046603
odar,0.000172352,0.000260182,0,0,0,0.000294032
lky,0.000163903,0,0,0,0,0.000652442
otchey,0.000241293,0,0,0,0.000681063,0.000264629
otair,0.000109269,0,0,0,0,0.000699045
qo,0.000310234,0,0,0,0.000681063,0.000205822
qokeeo,0.0000202,0.0000761,0,0,0.000796793,0.000223597
ary,0.0000544,0.0000342,0.0000853,0,0.000179143,0.0000541
aiir,0.0000202,0.000228295,0,0,0.000398397,0.000189197
cheeo,0,0,0.000324386,0,0.000681063,0.000411645
cheos,0.00000907,0.000102655,0.000255974,0,0.000358286,0.0000541
lkchedy,0.000172352,0,0,0,0.000681063,0.000294032
qokeol,0.0000403,0,0.000189754,0,0.000398397,0.000206397
ral,0.000546343,0,0,0,0,0.000279618
rar,0.000273171,0,0,0,0,0.000512633
chodaiin,0.0000689,0.000130091,0,0,0,0.000352838
chety,0.0000453,0.0000684,0.000341298,0,0.000179143,0.0000232
dl,0.000275763,0.000130091,0,0,0,0.000176419
keody,0.0000403,0.000456589,0.000759014,0,0,0.0000516
okeody,0.0000202,0.000304393,0.000948768,0,0,0.000086
qor,0.000275763,0,0.000324386,0,0,0.000176419
qokeody,0.0000403,0.0000761,0.001518028,0,0,0.0000688
ror,0.000241293,0,0,0,0.000681063,0.000205822
shear,0.000172352,0.000130091,0,0,0,0.000264629
tchdy,0,0,0,0,0,0
tain,0.000327806,0,0,0,0,0.000419427
dary,0.000100819,0.000228295,0.000379507,0,0,0.0000688
lo,0.00038244,0,0,0,0,0.000326221
oteody,0.0000403,0.0000761,0.000569261,0,0,0.000137598
qokeed,0.000120983,0,0.000189754,0,0.000398397,0.000103199
shedaiin,0.000379174,0,0.000324386,0,0,0.0000588
teey,0.000327806,0,0,0,0,0.000372824
chckhdy,0.000241293,0.000520363,0,0,0,0.0000588
