word,tfidf_balneological,tfidf_herbal,tfidf_recipes,tfidf_stars,PC1,PC2,cluster
ycheod,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
ysheo,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
yksheol,3.44704e-05,0.0,0.0,2.81837e-05,0.08442621615119245,0.1821237765846542,0
tshedar,0.0,9.28532e-05,0.0,2.81837e-05,-0.6663209327897748,-0.5566125060564278,0
yches,0.0,9.28532e-05,0.0,2.81837e-05,-0.6663209327897748,-0.5566125060564278,0
ysheeody,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
ykor,0.0,0.000371413,0.0,0.0,-2.220233116158808,-2.9086610208693426,1
totol,3.44704e-05,0.0,0.0,2.81837e-05,0.08442621615119245,0.1821237765846542,0
ykeedain,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
tolkain,3.44704e-05,9.28532e-05,0.0,0.0,-0.6329397455272346,-0.5954082720472935,0
ykeechy,3.44704e-05,9.28532e-05,0.0,0.0,-0.6329397455272346,-0.5954082720472935,0
tokar,0.0,0.000371413,0.0,0.0,-2.220233116158808,-2.9086610208693426,1
tokain,0.0,0.0,0.0,0.000112735,0.6492337539440135,0.20146880034783266,0
aiiikhedy,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
alal,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chedkel,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chckhhhy,0.0,0.000185706,0.0,0.0,-1.38368509260177,-1.3341411632817883,1
aiodam,6.89408e-05,0.0,0.0,0.0,0.11780740341373239,0.14332801059378847,0
checthal,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
aloees,6.89408e-05,0.0,0.0,0.0,0.11780740341373239,0.14332801059378847,0
chckheody,0.0,0.000185706,0.0,0.0,-1.38368509260177,-1.3341411632817883,1
chedkaly,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chckheed,6.89408e-05,0.0,0.0,0.0,0.11780740341373239,0.14332801059378847,0
akaiiky,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chedo,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
aiiraly,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chckheal,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
alolor,6.89408e-05,0.0,0.0,0.0,0.11780740341373239,0.14332801059378847,0
checphedy,6.89408e-05,0.0,0.0,0.0,0.11780740341373239,0.14332801059378847,0
allkeam,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chedkain,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chdalal,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chckham,0.0,0.000185706,0.0,0.0,-1.38368509260177,-1.3341411632817883,1
alchedar,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chcty,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
akchy,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
checkho,6.89408e-05,0.0,0.0,0.0,0.11780740341373239,0.14332801059378847,0
airols,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chckh,6.89408e-05,0.0,0.0,0.0,0.11780740341373239,0.14332801059378847,0
aiisod,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chchy,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chckhody,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chchty,6.89408e-05,0.0,0.0,0.0,0.11780740341373239,0.14332801059378847,0
aeeodeey,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chchky,6.89408e-05,0.0,0.0,0.0,0.11780740341373239,0.14332801059378847,0
chdyshdy,0.0,0.000185706,0.0,0.0,-1.38368509260177,-1.3341411632817883,1
chcheky,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chctey,0.0,0.000185706,0.0,0.0,-1.38368509260177,-1.3341411632817883,1
chcheey,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
alkeey,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chchdy,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chedan,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chedl,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
aldydy,0.0,0.000185706,0.0,0.0,-1.38368509260177,-1.3341411632817883,1
chcfhor,0.0,0.0,0.0,5.63674e-05,0.051045028888652436,0.22091954257551996,0
chedair,0.0,0.000185706,0.0,0.0,-1.38368509260177,-1.3341411632817883,1
chcfhol,0.0,0.0,0.001102674,0.0,-2.0858282435014734,5.797446484387384,2
chcphar,6.89408e-05,0.0,0.0,0.0,0.11780740341373239,0.14332801059378847,0
chcfhhy,0.0,0.000185706,0.0,0.0,-1.38368509260177,-1.3341411632817883,1
alaiiin,0.0,0.000185706,0.0,0.0,-1.38368509260177,-1.3341411632817883,1
